Location,Latitude,Longitude,"Coordinates, ",Report Number,Last Modified,Repored On,Incident From,Incident To,Incident Type,,Description
" Annie & John Glenn Avenue Ohio State Campus, Columbus, Ohio",33.3490011,-96.5485991,"33.3490011, -96.5485991",17-4303, 09-24-201713:01, 09-20-201711:02, 09-20-201711:01, 09-20-201711:01, Traffic Crash-Injury,, Male staff reports traffic crash with injuries.  Case closed.
" Nationwide Arena Ohio State Campus, Columbus, Ohio",39.9692127,-83.0060593,"39.9692127, -83.0060593",17-1725, 04-18-201714:00, 04-18-201711:40, 04-18-201711:40, 04-18-201711:40, Assist Other Agency,, Female staff reports assist other agency. Case closed
" Walgreen Drug Stores Ohio State Campus, Columbus, Ohio",39.9705133,-82.962256,"39.9705133, -82.962256",17-0195, 01-17-201721:51, 01-17-201714:40, 01-17-201714:40, 01-17-201714:40, Theft,," Female non-affiliate, Iesha Brenae Mayo, age 39, was arrested for Theft. Arrest adult."
" Walgreen Drug Stores Ohio State Campus, Columbus, Ohio",39.9705133,-82.962256,"39.9705133, -82.962256",17-4727, 10-09-201712:59, 10-09-201710:10, 10-09-201710:10, 10-09-201710:10, Theft,, Male staff reports theft by known suspect. Case Closed.
" University Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0431, 01-31-201722:34, 01-31-201720:00, 01-31-201714:20, 01-31-201714:40, Administrative Information,, Female staff reports Administrative Information. Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-3025, 07-12-201711:04, 07-11-201720:34, 07-11-201720:34, 07-11-201720:34, Administrative Information,, Male staff reports Administrative Information. Case closed
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-3137, 07-20-201708:54, 07-20-201702:03, 07-20-201702:03, 07-20-201702:03, Administrative Information,, Male staff reports Administrative Information.  Case closed.
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4493, 09-28-201714:24, 09-28-201712:01, 09-28-201711:42, 09-28-201711:42, Administrative Information,, Male non-affiliate made an administrative information report.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-3541, 08-17-201706:20, 08-17-201704:37, 08-17-201704:37, 08-17-201704:37, Aggravated Menacing,," Male non affiliate Dejore Baldwin 23yo, was arrested for Aggravated Menacing.  Arrest adult"
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4445, 09-27-201710:03, 09-26-201710:40, 09-21-201710:00, 09-21-201712:30, Aggravated Menacing,, Female staff reports Aggravated Menacing.  Case closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1557, 04-10-201706:38, 04-09-201722:12, 04-09-201720:27, 04-10-201720:50, Aggravated Menancing,, Male staff reports Aggravated Menacing by a known suspect. Investigation Pending.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0038, 01-05-201704:04, 01-05-201700:07, 01-05-201700:07, 01-05-201700:07, Assault,, Female staff reports assault by known subject.  closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0047, 01-06-201705:21, 01-06-201701:18, 01-05-201723:00, 01-05-201723:30, Assault,, Female non affiliate reports assault by a known suspect.  Case closed
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0462, 02-13-201709:10, 02-02-201713:23, 02-02-201713:11, 02-02-201713:17, Assault,, Male staff reports assault by known suspect.   Investigation Pending
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0653, 02-13-201705:55, 02-13-201704:29, 02-13-201704:15, 02-13-201704:20, Assault,, Female staff reports assault by a known suspect. Investigation Pending.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1238, 03-24-201713:02, 03-23-201708:37, 03-23-201708:37, 03-23-201709:40, Assault,, Male staff reports Assault on a Police Officer by a known suspect. Case closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1299, 03-27-201708:16, 03-27-201706:06, 03-27-201706:06, 03-27-201706:06, Assault,, Male staff reports assault by known suspect.  Investigation pending
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1560, 04-10-201706:40, 04-09-201722:21, 04-09-201722:12, 04-09-201722:12, Assault,, Male staff reports Assault by a known suspect.  Case closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2151, 05-14-201718:13, 05-14-201710:58, 05-14-201710:58, 05-14-201710:58, Assault,, Female staff reports assault by known person. Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-3181, 07-23-201705:28, 07-23-201703:57, 07-23-201702:30, 07-23-201702:30, Assault,, Female staff reports Assault by known suspect.   case closed
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-3609, 08-20-201705:24, 08-20-201702:33, 08-20-201702:20, 08-20-201702:33, Assault,, Female staff reports Assault by known suspect.  Warrant issued
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4717, 10-09-201705:46, 10-08-201723:27, 10-08-201723:27, 10-08-201723:27, Assault,, Male staff reports Assault by a known suspect.  Case closed
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1107, 03-12-201705:59, 03-12-201701:17, 03-12-201701:17, 03-12-201701:17, Assist Other Agency,, Female staff reports Assist Other Agency. Case closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2208, 05-18-201706:51, 05-18-201701:28, 05-18-201701:28, 05-18-201702:10, Assist Other Agency,, OSU PD assists Columbus PD with missing person.  Case closed
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4793, 10-12-201722:32, 10-12-201720:01, 10-12-201720:01, 10-12-201720:01, Assist Other Agency,," Female non-affiliate, Candice Marie Keys, age 35, was arrested on outstanding warrants. Arrest adult."
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1891, 04-27-201721:05, 04-27-201706:51, 04-27-201706:51, 04-27-201706:51, Carrying Concealed Weapon,, Male staff member Carrying Concealed Weapons by a known suspect. Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4164, 09-21-201708:04, 09-14-201712:15, 09-12-201715:00, 09-12-201723:00, Carrying Concealed Weapon,, Female staff reports Carrying Concealed Weapon by known suspect.  closed
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-3612, 08-20-201708:33, 08-20-201704:26, 08-19-201716:12, 08-20-201702:00, Criminal Damaging,, Male staff reports criminal damaging by unknown suspect.  Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-3687, 08-30-201707:29, 08-23-201704:32, 08-22-201717:30, 08-23-201704:00, Criminal Damaging,, Female staff reports Criminal Damaging.  Suspect unknown.  Closed
" OSU Hospitals East Flat Lot Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4413, 09-24-201722:33, 09-24-201719:51, 09-24-201717:25, 09-24-201717:35, Criminal Damaging,, female staff reports criminal damaging by unknown suspect. Case closed.
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4440, 09-26-201710:47, 09-26-201707:53, 09-01-201707:00, 09-17-201707:00, Criminal Damaging,, Female staff reports criminal damaging by known persons.
" University Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0149, 01-14-201722:29, 01-14-201717:06, 01-14-201717:06, 01-14-201717:06, Criminal Trespass,, Male staff reports Criminal Trespass by a known suspect. Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0576, 02-08-201712:49, 02-08-201712:15, 02-08-201712:15, 02-08-201712:15, Criminal Trespass,," Herbert O. Slaughter non-affiliate, male, age 51, was arrested for criminal trespass.   Arrest-adult"
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1125, 03-14-201706:12, 03-14-201704:21, 03-14-201704:21, 03-14-201704:21, Criminal Trespass,, Male staff reports criminal trespass by known suspect. closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2019, 05-05-201706:51, 05-05-201701:41, 05-05-201701:41, 05-05-201701:41, Criminal Trespass,," Male non affiliate, Tommy McClendon, 63 yo was arrested for Criminal Trespass.  Arrest adult"
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2447, 06-06-201710:23, 06-03-201710:44, 06-03-201710:30, 06-03-201711:00, Criminal Trespass,," Male non-affiliate Kenneth Head, age 55 arrested for criminal trespass.  Arrest adult."
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2995, 07-09-201715:08, 07-09-201710:01, 07-09-201710:01, 07-09-201710:01, Criminal Trespass,, Male staff reports criminal trespass by known suspect.  Case closed.
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4443, 09-27-201708:50, 09-26-201709:30, 09-26-201709:30, 09-26-201711:30, Criminal Trespass,," Bria E. Booker non-affiliate, female, age 24 was arrested for criminal trespass. Arrest-Adult"
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2308, 05-25-201713:05, 05-25-201708:35, 05-24-201722:25, 05-24-201723:50, Disorderly Conduct,, A male staff reported Disorderly Conduct by a known suspect. Case closed
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2687, 06-17-201721:16, 06-17-201717:16, 06-17-201717:10, 06-17-201717:10, Disorderly Conduct,, Female staff reports Disorderly Conduct by a known suspect. Warrant issued.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2741, 06-21-201714:49, 06-21-201711:39, 06-21-201711:39, 06-21-201711:39, Disorderly Conduct,," Joshua T Cook, non-affiliate male age 34 was arrested for disorderly conduct. Arrest-Adult"
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-3481, 08-14-201709:14, 08-13-201709:14, 08-13-201708:00, 08-13-201709:00, Disorderly Conduct,, Female staff reports disorderly conduct by known suspect.  Case closed.
" OSU East Medial Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4026, 09-07-201721:07, 09-07-201713:44, 09-07-201713:44, 09-07-201713:44, Disorderly Conduct,, Female staff reports Disorderly Conduct by known suspects. Case closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0712, 02-20-201710:48, 02-15-201723:49, 02-15-201723:20, 02-15-201723:30, Domestic Violence,, Female non affiliate reports Domestic Violence by a known suspect.  Closed
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0712, 02-20-201710:48, 02-15-201723:49, 02-15-201723:20, 02-15-201723:30, Domestic Violence,, Female non affiliate reports Domestic Violence by a known suspect.  Closed
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0028, 01-05-201709:16, 01-04-201712:42, 01-04-201712:42, 01-04-201712:42, Drug Paraphernalia,, Male staff reports drug paraphrenalia by known suspect. Case Closed.
" University Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0163, 01-15-201722:53, 01-15-201722:05, 01-15-201722:05, 01-15-201722:05, Drug Paraphernalia,, Male staff reports drug paraphernalia by known suspect.  Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0632, 02-11-201714:55, 02-11-201708:33, 02-11-201708:33, 02-11-201708:33, Drug Paraphernalia,, Male staff reports possession of drugs by unknown suspect.  Case closed.
" University Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0650, 02-13-201705:47, 02-12-201722:47, 02-12-201722:47, 02-12-201722:47, Drug Paraphernalia,, Male staff reports Drug Paraphernalia by a known suspect. Investigation Pending.
" University Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1597, 04-12-201707:41, 04-11-201723:04, 04-11-201722:34, 04-11-201722:34, Drug Paraphernalia,, Female staff reports drug paraphernalia by unknown suspect. Case Closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2066, 05-09-201706:03, 05-08-201722:51, 05-08-201722:51, 05-08-201722:51, Drug Paraphernalia,, Male staff reports Drug Paraphernalia by a known suspect. Case Closed
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2216, 05-18-201721:19, 05-18-201714:35, 05-18-201714:30, 05-18-201714:35, Drug Paraphernalia,, Male staff reports Drug Paraphernalia by a known suspect. Case closed.
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2448, 06-03-201713:40, 06-03-201712:00, 06-03-201712:00, 06-03-201712:00, Drug Paraphernalia,, Male staff reports possession of drug paraphernalia by known suspect. Case closed.
" OSU East Hospital Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2560, 06-10-201710:29, 06-10-201706:33, 06-10-201706:15, 06-10-201706:15, Drug Paraphernalia,, Male staff reports possession of drug paraphernalia by an unknown suspect.
